"indID","name","units"
"FY010","Cross-Appeal: Amount Requested (Original)","USD"
"FY020","Cross-Appeal: Amount Requested (Revised)","USD"
"FY040","Cross-Appeal: Amount Received","USD"
"FY190","Cross-Appeal: Amount Received By NGOs","USD"
"FY200","Cross-Appeal: Amount Received By Private Orgs. & Foundations","USD"
"FY210","Cross-Appeal: Amount Received By UN Agencies","USD"
"FY240","CERF Total Allocations","USD"
"FY360","CERF Country Allocation as Fraction of CERF Global Allocation","Fraction"
"FY370","CERF Country Allocation as Fraction of Total Country Funding","Fraction"
"FY380","ERF Total Allocations","USD"
"FY500","ERF Country Allocation as Fraction of ERF Global Allocation","Fraction"
"FY510","ERF Country Allocation as Fraction of Total Country Funding","Fraction"
"FY520","CHF Total Allocations","USD"
"FY540","CHF Country Allocation as Fraction of CHF Global Allocation","Fraction"
"FY550","CHF Country Allocation as Fraction of Total Country Funding","Fraction"
"FY620","Total Country Pooled Fund Allocations","USD"
"FY630","Total Country Humanitarian Funding Received","USD"
"FA010","CAP Amount Required (Revised)","USD"
"FA140","CAP Amount Received","USD"
"RW001","Number of Reports","Count"
"RW002","Number of Disasters","Count"
"CG310","m49-name","string"
"CG060","m49-num","string"
"PVX040","Incidence of Conflict","incidents per year"
"PVX010","GNA Vulnerability Index","index"
"PVX020","GNA Crisis Index","index"
"CH070","Number of disasters","uno"
"CH080","People killed in disasters","uno"
"PVX090","People injured in disasters","uno"
"CH090","People affected by disasters","uno"
"PVX080","People made homeless by disasters","uno"
"PVX100","Total number of people affected by disasters","uno"
"CH100","Total cost of damage done by disasters",",000$ USD"
"PVH200","Crude death rate by major area, region and country, 1950-2100","deaths per 1,000 population"
"PVH050","Deaths (both sexes combined) by major area, region and country, 1950-2100","thousands"
"PVH100","Under-five mortality (both sexes combined) by major area, region and country, 1950-2100","deaths under age five per 1,000 live births"
"PVH010","Life expectancy at birth (both sexes combined) by major area, region and country, 1950-2100","years"
"PVH150","Infant mortality rate (both sexes combined) by major area, region and country, 1950-2100","infant deaths per 1,000 live births"
"PSP100","Percentage of Population Residing in Urban Areas by Major Area, Region and Country, 1950-2050",""
