"dsID","region","indID","period","value","is_number","source"
"fts","COL","FY020","1999","0",1,NA
"fts","COL","FA140","1999","0",1,NA
"fts","COL","FY040","2000","0",1,NA
"fts","COL","FY010","2001","0",1,NA
"fts","COL","FA010","2001","0",1,NA
"fts","COL","FY020","2002","0",1,NA
"fts","COL","FA140","2002","0",1,NA
"fts","COL","FY040","2003","33620763",1,NA
"fts","COL","FY010","2004","0",1,NA
"fts","COL","FA010","2004","0",1,NA
"fts","COL","FY020","2005","0",1,NA
"fts","COL","FA140","2005","0",1,NA
"fts","COL","FY040","2006","0",1,NA
"fts","COL","FY010","2007","0",1,NA
"fts","COL","FA010","2007","0",1,NA
"fts","COL","FY020","2008","0",1,NA
"fts","COL","FA140","2008","0",1,NA
"fts","COL","FY040","2009","0",1,NA
"fts","COL","FY010","2010","0",1,NA
"fts","COL","FA010","2010","0",1,NA
"fts","COL","FY020","2011","0",1,NA
"fts","COL","FA140","2011","0",1,NA
"fts","COL","FY040","2012","0",1,NA
"fts","COL","FY010","2013","0",1,NA
"fts","COL","FA010","2013","0",1,NA
"fts","COL","FY020","2014","0",1,NA
"fts","COL","FA140","2014","0",1,NA
"fts","COL","FY040","2015","0",1,NA
"fts","COL","FY190","1999","0",1,NA
"fts","COL","FY190","2000","0",1,NA
"fts","COL","FY190","2001","0",1,NA
"fts","COL","FY190","2002","0",1,NA
"fts","COL","FY190","2003","0",1,NA
"fts","COL","FY190","2004","0",1,NA
"fts","COL","FY190","2005","0",1,NA
"fts","COL","FY190","2006","0",1,NA
"fts","COL","FY190","2007","0",1,NA
"fts","COL","FY190","2008","0",1,NA
"fts","COL","FY190","2009","0",1,NA
"fts","COL","FY190","2010","0",1,NA
"fts","COL","FY190","2011","0",1,NA
"fts","COL","FY190","2012","0",1,NA
"fts","COL","FY190","2013","0",1,NA
"fts","COL","FY190","2014","0",1,NA
"fts","COL","FY190","2015","0",1,NA
"fts","COL","FY240","1999","0",1,NA
"fts","COL","FY380","1999","0",1,NA
"fts","COL","FY520","1999","0",1,NA
"fts","COL","FY620","1999","0",1,NA
"fts","COL","FY360","2000","0",1,NA
"fts","COL","FY500","2000","0",1,NA
"fts","COL","FY540","2000","0",1,NA
"fts","COL","FY630","2000","379749",1,NA
"fts","COL","FY370","2001","0",1,NA
"fts","COL","FY510","2001","0",1,NA
"fts","COL","FY550","2001","0",1,NA
"fts","COL","FY240","2002","0",1,NA
"fts","COL","FY380","2002","0",1,NA
"fts","COL","FY520","2002","0",1,NA
"fts","COL","FY620","2002","0",1,NA
"fts","COL","FY360","2003","0",1,NA
"fts","COL","FY500","2003","0",1,NA
"fts","COL","FY540","2003","0",1,NA
"fts","COL","FY630","2003","40518269",1,NA
"fts","COL","FY370","2004","0",1,NA
"fts","COL","FY510","2004","0",1,NA
"fts","COL","FY550","2004","0",1,NA
"fts","COL","FY240","2005","0",1,NA
"fts","COL","FY380","2005","0",1,NA
"fts","COL","FY520","2005","0",1,NA
"fts","COL","FY620","2005","0",1,NA
"fts","COL","FY360","2006","0.00872457117358495",1,NA
"fts","COL","FY500","2006","0",1,NA
"fts","COL","FY540","2006","0",1,NA
"fts","COL","FY630","2006","37173442",1,NA
"fts","COL","FY370","2007","0.0458022172841182",1,NA
"fts","COL","FY510","2007","0",1,NA
"fts","COL","FY550","2007","0",1,NA
"fts","COL","FY240","2008","1838333",1,NA
"fts","COL","FY380","2008","0",1,NA
"fts","COL","FY520","2008","0",1,NA
"fts","COL","FY620","2008","1838333",1,NA
"fts","COL","FY360","2009","0.0214431778398746",1,NA
"fts","COL","FY500","2009","0",1,NA
"fts","COL","FY540","2009","0",1,NA
"fts","COL","FY630","2009","61607777",1,NA
"fts","COL","FY370","2010","0.087822559396801",1,NA
"fts","COL","FY510","2010","0.0242226642038369",1,NA
"fts","COL","FY550","2010","0",1,NA
"fts","COL","FY240","2011","5927391",1,NA
"fts","COL","FY380","2011","1622837",1,NA
"fts","COL","FY520","2011","0",1,NA
"fts","COL","FY620","2011","7550228",1,NA
"fts","COL","FY360","2012","0.00838831402697502",1,NA
"fts","COL","FY500","2012","0.0164045253588873",1,NA
"fts","COL","FY540","2012","0",1,NA
"fts","COL","FY630","2012","56148419",1,NA
"fts","COL","FY370","2013","0.0593887114579143",1,NA
"fts","COL","FY510","2013","0.0215663749402854",1,NA
"fts","COL","FY550","2013","0",1,NA
"fts","COL","FY240","2014","4505909",1,NA
"fts","COL","FY380","2014","1082509",1,NA
"fts","COL","FY520","2014","0",1,NA
"fts","COL","FY620","2014","5588418",1,NA
"fts","COL","FY360","2015","0",1,NA
"fts","COL","FY500","2015","0",1,NA
"fts","COL","FY540","2015","0",1,NA
"fts","COL","FY630","2015","0",1,NA
"fts","KEN","FY040","1999","0",1,NA
"fts","KEN","FY010","2000","0",1,NA
"fts","KEN","FA010","2000","0",1,NA
"fts","KEN","FY020","2001","182077601",1,NA
"fts","KEN","FA140","2001","0",1,NA
"fts","KEN","FY040","2002","19891797",1,NA
"fts","KEN","FY010","2003","0",1,NA
"fts","KEN","FA010","2003","0",1,NA
"fts","KEN","FY020","2004","83249327",1,NA
"fts","KEN","FA140","2004","0",1,NA
"fts","KEN","FY040","2005","0",1,NA
"fts","KEN","FY010","2006","41989995",1,NA
"fts","KEN","FA010","2006","0",1,NA
"fts","KEN","FY020","2007","0",1,NA
"fts","KEN","FA140","2007","0",1,NA
"fts","KEN","FY040","2008","136895869",1,NA
"fts","KEN","FY010","2009","388818692",1,NA
"fts","KEN","FA010","2009","581079038",1,NA
"fts","KEN","FY020","2010","603544553",1,NA
"fts","KEN","FA140","2010","399288552",1,NA
"fts","KEN","FY040","2011","528690146",1,NA
"fts","KEN","FY010","2012","763757858",1,NA
"fts","KEN","FA010","2012","796807640",1,NA
"fts","KEN","FY020","2013","663311782",1,NA
"fts","KEN","FA140","2013","370453728",1,NA
"fts","KEN","FY040","2014","0",1,NA
"fts","KEN","FY010","2015","0",1,NA
"fts","KEN","FA010","2015","0",1,NA
"fts","KEN","FY200","1999","0",1,NA
"fts","KEN","FY200","2000","0",1,NA
"fts","KEN","FY200","2001","0",1,NA
"fts","KEN","FY200","2002","0",1,NA
"fts","KEN","FY200","2003","0",1,NA
"fts","KEN","FY200","2004","0",1,NA
"fts","KEN","FY200","2005","0",1,NA
"fts","KEN","FY200","2006","0",1,NA
"fts","KEN","FY200","2007","0",1,NA
"fts","KEN","FY200","2008","1862457",1,NA
"fts","KEN","FY200","2009","0",1,NA
