"dsID","indID","region","period","value","is_number","source","indicator_name","units","last_updated","last_scraped","source_name"
"acled","PVX040","SSD","1999","224",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GNB","2002","10",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MWI","2009","7",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MRT","2003","25",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MAR","2009","10",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MOZ","2007","27",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","DJI","2011","7",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MDG","2007","24",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GMB","2012","5",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","LBR","2009","16",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GHA","2012","57",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","GNQ","2002","2",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","SEN","2004","24",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","MOZ","2004","60",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
"acled","PVX040","TCD","2006","286",0,"http://www.acleddata.com/data/types-and-groups/","Incidence of Conflict","incidents per year","","2014-06-15T19:03:08.535497","ACLED (Armed conflict location and event dataset)"
