Operation,Status,ISO3,Regions,Continents
Syria,Startup / Increasing,SYR,Western Asia,Asia
Mali,Startup / Increasing,MLI,Western Africa,Africa
Afghanistan,Ongoing,AFG,Southern Asia,Asia
Central African Republic,Ongoing,CAF,Middle Africa,Africa
Chad,Ongoing,TCD,Middle Africa,Africa
Democratic Republic of the Congo,Ongoing,COD,Middle Africa,Africa
Ethiopia,Ongoing,ETH,Eastern Africa,Africa
Eritrea,Ongoing,ERI,Eastern Africa,Africa
Myanmar,Ongoing,MMR,South-Eastern Asia,Asia
Niger,Ongoing,NER,Western Africa,Africa
occupied Palestinian territories,Ongoing,PSE,Western Asia,Asia
Philippines,Ongoing,PHL,South-Eastern Asia,Asia
South Sudan,Ongoing,SSD,Northern Africa,Africa
Somalia,Ongoing,SOM,Eastern Africa,Africa
Sudan,Ongoing,SDN,Northern Africa,Africa
Yemen,Ongoing,YEM,Western Asia,Asia
Colombia,Downsizing,COL,South America,Americas
Haiti,Downsizing,HTI,Caribbean,Americas
Indonesia,Downsizing,IDN,South-Eastern Asia,Asia
Pakistan,Downsizing,PAK,Southern Asia,Asia
Sri Lanka,Closing,LKA,Southern Asia,Asia
Kenya,Closing,KEN,Eastern Africa,Africa
Zimbabwe,Closing,ZWE,Eastern Africa,Africa
Cote d'Ivoire,Closing,CIV,Western Africa,Africa
