name,indID,units
Number of People of Concern by Country of Origin,CHD.O.PRO.01.T6,People
Number of People of Concern by Country of Residence,CHD.O.PRO.02.T6,People
Internally displaced by Country of Residence,CHD.O.PRO.03.T6,People
Internally displaced by Country of Origin,CHD.O.PRO.03.T6,People
Returned IDPs by Country of Origin,CHD.O.PRO.05.T6,People
Returned IDPs by Country of Residence,CHD.O.PRO.06.T6,People
Others of concern by Country of Origin,CHD.O.PRO.07.T6,People
Others of concern by Country of Residence,CHD.O.PRO.08.T6,People
Returned refugees by Country of Origin,CHD.O.PRO.09.T6,People
Returned refugees by Country of Residence,CHD.O.PRO.10.T6,People
Asylum seekers by Country of Origin,CHD.O.PRO.11.T6,People
Asylum seekers by Country of Residence,CHD.O.PRO.12.T6,People
Refugees by Country of Residence,CHD.O.PRO.13.T6,People
Refugees by Country of Origin,CHD.O.PRO.14.T6,People
Stateless by Country of Residence,CHD.O.PRO.15.T6,People
Stateless by Country of Origin,CHD.O.PRO.16.T6,People
Total Number of People of Concern,CHD.O.PRO.17.T6,People
