"period","value","region","indID","source","dsID","is_number"
2000,4386280,"AFG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,5040559,"AFG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,3955479,"AFG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,2428694,"AFG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,2618398,"AFG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,2339733,"AFG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,2262621,"AFG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,2088140,"AFG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,3095531,"AFG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,3223369,"AFG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,4286425,"AFG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,4181216,"AFG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,4023822,"AFG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,3560728,"AFG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,9,"ATG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,13,"ATG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,46,"ATG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,31,"ATG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,23,"ATG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,24,"ATG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,28,"ATG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,29,"ATG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,52,"ATG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,70,"ATG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,61,"ATG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,65,"ATG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,79,"ATG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,73,"ATG","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,877,"AUS","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,12,"AUS","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,317,"AUS","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,133,"AUS","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,35,"AUS","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,56,"AUS","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,52,"AUS","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,79,"AUS","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,64,"AUS","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,45,"AUS","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,62,"AUS","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,732,"AUS","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,720,"AUS","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,367,"AUS","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,1682,"AUT","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,549,"AUT","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,1119,"AUT","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,855,"AUT","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,282,"AUT","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,400,"AUT","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,634,"AUT","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,335,"AUT","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,315,"AUT","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,996,"AUT","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,82,"AUT","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,42,"AUT","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,29,"AUT","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,19,"AUT","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,862040,"AZE","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,847460,"AZE","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,842410,"AZE","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,833518,"AZE","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,833088,"AZE","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,816367,"AZE","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,815788,"AZE","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,704480,"AZE","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,621473,"AZE","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,605431,"AZE","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,611716,"AZE","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,617553,"AZE","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,617999,"AZE","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,623455,"AZE","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,10049,"BGD","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,9280,"BGD","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,11379,"BGD","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,17076,"BGD","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,15287,"BGD","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,17564,"BGD","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,11825,"BGD","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,17576,"BGD","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,16810,"BGD","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,12260,"BGD","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,16559,"BGD","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,14981,"BGD","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,18347,"BGD","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,31923,"BGD","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,3290,"BLR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,4830,"BLR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,8446,"BLR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,9919,"BLR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,9662,"BLR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,10312,"BLR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,11096,"BLR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,6189,"BLR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,6463,"BLR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,6507,"BLR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,6485,"BLR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,6822,"BLR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,7147,"BLR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,5291,"BLR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,2969,"BEL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,385,"BEL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,528,"BEL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,298,"BEL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,281,"BEL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,278,"BEL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,268,"BEL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,87,"BEL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,117,"BEL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,194,"BEL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,97,"BEL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,96,"BEL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,204,"BEL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,95,"BEL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,874,"BRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,1054,"BRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,1588,"BRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,1659,"BRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,1424,"BRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,965,"BRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,1156,"BRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,1936,"BRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,1786,"BRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,1348,"BRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,1252,"BRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,1231,"BRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,1327,"BRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,1531,"BRA","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,3713,"BGR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,3634,"BGR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,4592,"BGR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,3956,"BGR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,3453,"BGR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,5471,"BGR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,4271,"BGR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,3725,"BGR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,3340,"BGR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,3182,"BGR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,2687,"BGR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,2504,"BGR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,2291,"BGR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,2030,"BGR","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,37158,"KHM","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,35066,"KHM","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,33919,"KHM","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,31873,"KHM","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,18639,"KHM","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,18842,"KHM","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,18702,"KHM","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,18184,"KHM","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,17786,"KHM","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,17369,"KHM","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,16451,"KHM","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,15412,"KHM","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,14239,"KHM","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,13958,"KHM","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,1033,"CHL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,1042,"CHL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,2242,"CHL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,1864,"CHL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,1397,"CHL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,1030,"CHL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,891,"CHL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,1101,"CHL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,1118,"CHL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,1492,"CHL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,1344,"CHL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,1313,"CHL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,1218,"CHL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,642,"CHL","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,128161,"CHN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,137206,"CHN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2002,157332,"CHN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2003,153664,"CHN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2004,154454,"CHN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2005,143496,"CHN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2006,157891,"CHN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2007,164631,"CHN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2008,194813,"CHN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2009,198896,"CHN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2010,192348,"CHN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2011,200987,"CHN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2012,208811,"CHN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2013,219864,"CHN","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2000,1184,"DNK","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
2001,391,"DNK","CHD.O.PRO.03.T6","http://popstats.unhcr.org","unhcr-popstats",1
