"Year","Country.or.territory.of.asylum.or.residence","Country.or.territory.of.origin","Refugees","Refugees.assisted.by.UNHCR","Total.refugees.and.people.in.refugee.like.situations","Total.refugees.and.people.in.refugee.like.situations.assisted.by.UNHCR"
"1975","ALG","CHL",350,NA,350,NA
"1975","ALG","VAR",650,NA,650,NA
"1975","ALG","WSH",20000,NA,20000,NA
"1975","ARE","VAR",4000,NA,4000,NA
"1975","ARG","BOL",90,NA,90,NA
"1975","ARG","CHL",14400,NA,14400,NA
"1975","ARG","URU",570,NA,570,NA
"1975","ARG","VAR",30940,NA,30940,NA
"1975","AUS","VAR",20000,NA,20000,NA
"1975","BDI","RWA",49500,NA,49500,NA
"1975","BEL","VAR",16788,NA,16788,NA
"1975","BOT","ANG",1790,NA,1790,NA
"1975","BOT","LES",190,NA,190,NA
"1975","BOT","NAM",150,NA,150,NA
"1975","BOT","RSA",190,NA,190,NA
"1975","BOT","ZIM",80,NA,80,NA
"1975","BRA","VAR",32000,NA,32000,NA
"1975","CAN","VAR",16349,NA,16349,NA
"1975","CAR","VAR",5000,NA,5000,NA
"1975","CHL","VAR",3300,NA,3300,NA
"1975","CMR","EGU",30000,NA,30000,NA
"1975","COB","ANG",5000,NA,5000,NA
"1975","COD","ANG",460000,NA,460000,NA
"1975","COD","BDI",24000,NA,24000,NA
"1975","COD","RWA",24300,NA,24300,NA
"1975","COD","VAR",950,NA,950,NA
"1975","COD","ZAM",750,NA,750,NA
"1975","DEN","VAR",2125,NA,2125,NA
"1975","ETH","SUD",11000,NA,11000,NA
"1975","ETH","VAR",150,NA,150,NA
"1975","FRA","VAR",109882,NA,109882,NA
"1975","GAB","EGU",60000,NA,60000,NA
"1975","GBR","VAR",153000,NA,153000,NA
"1975","GFR","VAR",122000,NA,122000,NA
"1975","GHA","VAR",130,NA,130,NA
"1975","GRE","GRE",510,NA,510,NA
"1975","GRE","VAR",2090,NA,2090,NA
"1975","ICO","GUI",3e+05,NA,3e+05,NA
"1975","ITA","VAR",11900,NA,11900,NA
"1975","KEN","ETH",300,NA,300,NA
"1975","KEN","MOZ",600,NA,600,NA
"1975","KEN","NAM",100,NA,100,NA
"1975","KEN","RSA",90,NA,90,NA
"1975","KEN","RWA",700,NA,700,NA
"1975","KEN","VAR",600,NA,600,NA
"1975","KEN","ZIM",60,NA,60,NA
"1975","LAO","VAR",70,NA,70,NA
"1975","LES","RSA",190,NA,190,NA
"1975","MOR","CZE",50,NA,50,NA
"1975","MOR","HUN",70,NA,70,NA
"1975","MOR","POL",60,NA,60,NA
"1975","MOR","RUS",70,NA,70,NA
"1975","MOR","SPA",140,NA,140,NA
"1975","MOR","VAR",120,NA,120,NA
"1975","MOZ","MLW",30000,NA,30000,NA
"1975","MOZ","RSA",70,NA,70,NA
"1975","MOZ","ZIM",14500,NA,14500,NA
"1975","NEP","TIB",8200,NA,8200,NA
"1975","NET","VAR",7850,NA,7850,NA
"1975","NOR","VAR",3000,NA,3000,NA
"1975","PER","CHL",600,NA,600,NA
"1975","PHI","SRV",690,NA,690,NA
"1975","POR","VAR",150,NA,150,NA
"1975","RWA","BDI",7400,NA,7400,NA
"1975","SEN","GNB",46000,NA,46000,NA
"1975","SPA","VAR",16000,NA,16000,NA
"1975","SRB","VAR",26300,NA,26300,NA
"1975","SUD","COD",4500,NA,4500,NA
"1975","SUD","ETH",91000,NA,91000,NA
"1975","SWA","VAR",50,NA,50,NA
"1975","SWE","VAR",20000,NA,20000,NA
"1975","SWI","VAR",35000,NA,35000,NA
"1975","TAN","BDI",110540,NA,110540,NA
"1975","TAN","COD",400,NA,400,NA
"1975","TAN","MLW",80,NA,80,NA
"1975","TAN","MOZ",33700,NA,33700,NA
"1975","TAN","RSA",60,NA,60,NA
"1975","TAN","RWA",23100,NA,23100,NA
"1975","TAN","UGA",2300,NA,2300,NA
"1975","TAN","VAR",900,NA,900,NA
"1975","TAN","ZIM",80,NA,80,NA
"1975","THA","CAM",18830,NA,18830,NA
"1975","THA","LAO",55510,NA,55510,NA
"1975","THA","SRV",1420,NA,1420,NA
"1975","TUR","ALB",380,NA,380,NA
"1975","TUR","BUL",300,NA,300,NA
"1975","TUR","HUN",70,NA,70,NA
"1975","TUR","ROM",70,NA,70,NA
"1975","TUR","SRB",120,NA,120,NA
"1975","TUR","VAR",120,NA,120,NA
"1975","UGA","COD",34450,NA,34450,NA
"1975","UGA","RWA",78120,NA,78120,NA
"1975","UGA","VAR",60,NA,60,NA
"1975","USA","VAR",530000,NA,530000,NA
"1975","VAR","ANG",5000,NA,5000,NA
"1975","VAR","VAR",749120,NA,749120,NA
"1975","ZAM","ANG",30040,NA,30040,NA
"1975","ZAM","COB",110,NA,110,NA
"1975","ZAM","COD",60,NA,60,NA
"1975","ZAM","ETH",110,NA,110,NA
"1975","ZAM","KEN",90,NA,90,NA
